Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
L003,HUMCNGEYMPEI-280-v109,PE,76,1.32,1.3124e+09,17380570,6.26,5.04,99.96,0.04,48.82,93.44,91.19,48.78,48.87,94.53,92.36,92.50,89.89
L003,HUMCDGEYIPEI-267-v109,PE,76,3.44,3.4148e+09,45224894,16.30,6.14,99.96,0.04,49.12,94.20,92.23,49.10,49.14,95.03,93.37,93.22,91.23
L003,HUMCDGEYJPEI-269-v109,PE,76,3.37,3.3456e+09,44306410,15.97,1.98,99.96,0.04,48.75,94.39,92.49,48.72,48.79,95.16,93.62,93.41,91.58
L003,HUMCDGEYFPEI-213-v109,PE,76,4.00,3.9776e+09,52680042,18.99,1.89,99.96,0.04,48.53,94.33,92.42,48.48,48.57,95.20,93.46,93.46,91.38
L003,HUMCAAXH0PEI-108-mini,PE,76,0.08,7.4935e+07,994084,0.36,3.71,99.83,0.17,42.97,93.89,91.93,42.34,43.60,95.37,92.41,93.69,90.17
L003,Total,PE,76,21.09,NA,277435214,100.00,NA,99.96,0.04,48.80,93.98,91.94,48.73,48.87,94.91,93.04,93.07,90.82
L004,Undetermined,PE,76,1.89,NA,24851520,8.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L004,HUMCDGEYDPEI-243-v108,PE,76,0.75,7.4752e+08,9903134,3.55,8.16,99.97,0.03,45.57,94.88,93.07,45.52,45.62,95.83,93.92,94.27,91.87
L004,HUMCNGEXSPEI-231-v109,PE,76,0.47,4.6379e+08,6141824,2.20,6.49,99.98,0.02,47.70,93.42,91.18,47.61,47.78,94.95,91.90,93.06,89.31
L004,HUMCNGEXTPEI-274-v109,PE,76,0.39,3.9087e+08,5175868,1.85,5.86,99.98,0.02,48.06,93.15,90.84,47.93,48.20,94.86,91.43,92.93,88.76
L004,HUMCNGEXUPEI-240-v109,PE,76,0.33,3.2851e+08,4350574,1.56,6.86,99.98,0.02,46.93,93.50,91.28,46.82,47.04,95.01,91.99,93.13,89.44
L004,HUMCNGEXVPEI-235-v109,PE,76,0.43,4.2945e+08,5686670,2.04,8.62,99.98,0.02,48.58,93.41,91.17,48.47,48.68,94.69,92.13,92.72,89.62
L004,HUMCNGEXWPEI-220-v109,PE,76,0.42,4.1898e+08,5548076,1.99,4.25,99.98,0.02,47.97,93.34,91.05,47.84,48.10,94.75,91.92,92.77,89.34
L004,HUMCNGEXYPEI-206-v109,PE,76,0.44,4.3990e+08,5824744,2.09,9.53,99.98,0.02,49.28,93.31,91.04,49.19,49.36,94.78,91.85,92.84,89.24
L004,HUMCNGEYLPEI-279-v109,PE,76,0.36,3.5386e+08,4685656,1.68,7.34,99.98,0.02,48.37,92.81,90.40,48.24,48.50,94.69,90.92,92.69,88.11
L004,HUMCNGEXZPEI-215-v109,PE,76,1.06,1.0570e+09,13996536,5.01,5.58,99.98,0.02,48.68,93.20,90.92,48.54,48.82,94.88,91.53,92.97,88.87
L004,HUMCNGENWPEI-281-v109,PE,76,0.20,2.0007e+08,2649280,0.95,7.03,99.98,0.02,47.62,92.31,89.74,47.50,47.73,94.31,90.32,92.14,87.34
L004,HUMCNGENVPEI-275-v109,PE,76,0.81,8.0579e+08,10669268,3.82,8.31,99.98,0.02,49.09,92.84,90.42,48.98,49.20,94.41,91.27,92.30,88.54
L004,HUMCNGEYNPEI-284-v109,PE,76,1.45,1.4307e+09,19101798,6.84,4.47,99.95,0.05,52.23,93.27,91.26,52.14,52.31,93.87,92.67,92.03,90.50
L004,HUMCNGEYMPEI-280-v109,PE,76,1.32,1.3073e+09,17312866,6.20,6.68,99.97,0.03,48.83,93.16,90.85,48.79,48.87,94.55,91.77,92.54,89.16
L004,HUMCDGEYIPEI-267-v109,PE,76,3.42,3.3991e+09,45015850,16.12,7.08,99.97,0.03,49.13,94.00,91.97,49.12,49.13,95.07,92.92,93.29,90.65
L004,HUMCDGEYJPEI-269-v109,PE,76,3.38,3.3596e+09,44490808,15.94,2.84,99.97,0.03,48.74,94.13,92.16,48.72,48.77,95.12,93.14,93.37,90.95
L004,HUMCDGEYFPEI-213-v109,PE,76,4.01,3.9854e+09,52781916,18.91,3.09,99.97,0.03,48.52,94.07,92.09,48.48,48.56,95.17,92.96,93.44,90.75
L004,HUMCAAXH0PEI-108-mini,PE,76,0.07,7.4254e+07,984696,0.35,4.92,99.88,0.12,42.89,93.77,91.74,42.28,43.49,95.46,92.07,93.81,89.67
L004,Total,PE,76,21.22,NA,279171084,100.00,NA,99.97,0.03,48.80,93.74,91.65,48.74,48.85,94.92,92.56,93.10,90.21
